cache_key,suburb,city_town,municipality,province,country,display_name
-22.2256_29.9906,,Municipality of Beitbridge,Beitbridge,Matabeleland South Province,Zimbabwe,"Beitbridge, Municipality of Beitbridge, Beitbridge, Matabeleland South Province, Zimbabwe"
-22.4377_31.0781,,Mutale Local Municipality,Vhembe District Municipality,Limpopo,South Africa,"Mutale Local Municipality, Vhembe District Municipality, Limpopo, South Africa"
-22.5489_28.8981,Blouberg Local Municipality,,Capricorn District Municipality,Limpopo,South Africa,"Blouberg Local Municipality, Capricorn District Municipality, Limpopo, South Africa"
-22.7697_30.8869,,Thulamela Local Municipality,Vhembe District Municipality,Limpopo,South Africa,"Thulamela Local Municipality, Vhembe District Municipality, Limpopo, South Africa"
-22.9103_29.6111,,Makhado Local Municipality,Vhembe District Municipality,Limpopo,South Africa,"Makhado Local Municipality, Vhembe District Municipality, Limpopo, South Africa"
-22.935_28.0042,,Lephalale Local Municipality,Waterberg District Municipality,Limpopo,South Africa,"Lephalale Local Municipality, Waterberg District Municipality, Limpopo, South Africa"
-23.2357_27.717,,Lephalale Local Municipality,Waterberg District Municipality,Limpopo,South Africa,"Lephalale Local Municipality, Waterberg District Municipality, Limpopo, South Africa"
-23.281_30.5431,,Greater Giyani Local Municipality,Mopani District Municipality,Limpopo,South Africa,"Greater Giyani Local Municipality, Mopani District Municipality, Limpopo, 0826, South Africa"
-23.6581_31.05,,Ba-Phalaborwa Local Municipality,Mopani District Municipality,Limpopo,South Africa,"Ba-Phalaborwa Local Municipality, Mopani District Municipality, Limpopo, South Africa"
-23.7631_27.9086,,Lephalale Local Municipality,Waterberg District Municipality,Limpopo,South Africa,"Lephalale Local Municipality, Waterberg District Municipality, Limpopo, South Africa"
-23.8386_31.6408,,Ba-Phalaborwa Local Municipality,Mopani District Municipality,Limpopo,South Africa,"Ba-Phalaborwa Local Municipality, Mopani District Municipality, Limpopo, South Africa"
